error_type,recency_days,frequency,distinct_products,net_revenue,avg_days_between_orders,recent_activity_ratio
FN,47.2,9.266666666666667,102.68333333333334,2916.9736666666668,46.98091233194909,0.32703921541421543
FP,173.3364055299539,4.216589861751152,59.474654377880185,1255.1097235023042,129.8368940963106,0.10920787669906673
TN,39.336363636363636,19.85,190.52727272727273,8353.542181818182,36.77558079507852,0.22025814833617616
TP,207.85013623978202,3.2697547683923704,41.39782016348774,1037.9495640326975,161.33912328121738,0.10107369923446219
