feature,importance_mean,importance_std
avg_days_between_orders,0.04410848932738107,0.011172645795550763
recency_days,0.03850127814189778,0.005568027217777624
net_revenue,0.01687120509756207,0.005396920160986126
distinct_products,0.01566969812271223,0.0055546624111784465
tenure_days,0.006969222771826117,0.004337123667667909
frequency,0.0029247209256211826,0.001462630693604256
recent_activity_ratio,0.0013180670850325038,0.001189039032155004
has_return,0.000946414503828974,0.0011870107086881766
is_low_value,0.0001422837207058103,0.0001862501968258023
is_uk,-4.153291282385507e-05,3.4601395425900624e-05
